2,hour	2.000000	0.500000	0.022472	0.043011
be,better	3.000000	0.500000	0.033708	0.063158
than,1	2.000000	0.666667	0.022472	0.043478
last,long	2.000000	1.000000	0.022472	0.043956
batteri,and	2.000000	1.000000	0.022472	0.043956
and,plenti	2.000000	0.500000	0.022472	0.043011
work,well	2.000000	0.200000	0.022472	0.040404
last,a	2.000000	1.000000	0.022472	0.043956
is,amaz	3.000000	0.333333	0.033708	0.061224
and,the	9.000000	0.132353	0.101124	0.114650
bought,it	2.000000	0.133333	0.022472	0.038462
is,the	3.000000	0.069767	0.033708	0.045455
that,the	2.000000	0.117647	0.022472	0.037736
out,of	2.000000	0.068966	0.022472	0.033898
a,great	2.000000	0.035088	0.022472	0.027397
great,batteri	5.000000	1.000000	0.056180	0.106383
doesn't,last	2.000000	1.000000	0.022472	0.043956
a,small	2.000000	0.666667	0.022472	0.043478
hour,batteri	3.000000	1.000000	0.033708	0.065217
plenti,of	2.000000	0.333333	0.022472	0.042105
lightweight,and	2.000000	0.500000	0.022472	0.043011
with,a	2.000000	0.074074	0.022472	0.034483
i,would	2.000000	0.029851	0.022472	0.025641
for,the	4.000000	0.074074	0.044944	0.055944
life,seem	2.000000	1.000000	0.022472	0.043956
for,my	2.000000	0.125000	0.022472	0.038095
and,a	2.000000	0.133333	0.022472	0.038462
with,it	3.000000	0.083333	0.033708	0.048000
5,6	2.000000	1.000000	0.022472	0.043956
a,veri	2.000000	0.153846	0.022472	0.039216
have,to	2.000000	0.057143	0.022472	0.032258
it,ha	4.000000	0.068966	0.044944	0.054422
life,when	2.000000	1.000000	0.022472	0.043956
could,be	2.000000	0.285714	0.022472	0.041667
2,5	2.000000	0.666667	0.022472	0.043478
with,the	3.000000	0.062500	0.033708	0.043796
life,is	15.000000	1.000000	0.168539	0.288462
life,as	2.000000	1.000000	0.022472	0.043956
life,last	2.000000	1.000000	0.022472	0.043956
10,hour	3.000000	1.000000	0.033708	0.065217
fast,and	2.000000	0.105263	0.022472	0.037037
the,batteri	35.000000	0.945946	0.393258	0.555556
than,2	2.000000	0.666667	0.022472	0.043478
of,batteri	4.000000	0.800000	0.044944	0.085106
did,have	2.000000	1.000000	0.022472	0.043956
web,brows	2.000000	0.250000	0.022472	0.041237
power,and	2.000000	0.400000	0.022472	0.042553
hr,of	2.000000	1.000000	0.022472	0.043956
7,hr	2.000000	1.000000	0.022472	0.043956
is,a	4.000000	0.043956	0.044944	0.044444
long,time	3.000000	0.428571	0.033708	0.062500
veri,long	4.000000	0.800000	0.044944	0.085106
process,power	2.000000	0.666667	0.022472	0.043478
is,good	2.000000	0.166667	0.022472	0.039604
good,batteri	2.000000	1.000000	0.022472	0.043956
of,thi	2.000000	0.153846	0.022472	0.039216
8,hour	2.000000	1.000000	0.022472	0.043956
perfect,for	2.000000	0.250000	0.022472	0.041237
of,a	2.000000	0.117647	0.022472	0.037736
price,and	2.000000	0.222222	0.022472	0.040816
of,memori	2.000000	0.666667	0.022472	0.043478
more,than	5.000000	0.250000	0.056180	0.091743
a,laptop	2.000000	0.153846	0.022472	0.039216
everyth,i	2.000000	0.117647	0.022472	0.037736
i,use	2.000000	0.111111	0.022472	0.037383
batteri,last	2.000000	1.000000	0.022472	0.043956
hour,of	2.000000	0.400000	0.022472	0.042553
in,a	2.000000	0.153846	0.022472	0.039216
of,the	2.000000	0.025316	0.022472	0.023810
an,hour	3.000000	0.750000	0.033708	0.064516
the,onli	3.000000	0.090909	0.033708	0.049180
ha,a	5.000000	0.178571	0.056180	0.085470
batteri,life	42.000000	0.933333	0.471910	0.626866
is,excel	3.000000	0.500000	0.033708	0.063158
better,but	3.000000	0.600000	0.033708	0.063830
a,long	2.000000	0.250000	0.022472	0.041237
last,batteri	2.000000	1.000000	0.022472	0.043956
month,ago	2.000000	0.333333	0.022472	0.042105
in,the	2.000000	0.057143	0.022472	0.032258
long,batteri	5.000000	1.000000	0.056180	0.106383
i,bought	3.000000	0.083333	0.033708	0.048000
as,i	2.000000	0.333333	0.022472	0.042105
i,am	2.000000	0.029412	0.022472	0.025478
charg,quickli	2.000000	1.000000	0.022472	0.043956
batteri,is	4.000000	0.666667	0.044944	0.084211
for,a	3.000000	0.062500	0.033708	0.043796
a,good	2.000000	0.117647	0.022472	0.037736
lot,of	2.000000	0.133333	0.022472	0.038462
seem,to	2.000000	0.153846	0.022472	0.039216
give,you	2.000000	1.000000	0.022472	0.043956
replac,the	2.000000	0.333333	0.022472	0.042105
6,hour	3.000000	1.000000	0.033708	0.065217
less,than	2.000000	0.222222	0.022472	0.040816
hour,as	2.000000	1.000000	0.022472	0.043956
thi,comput	2.000000	0.026667	0.022472	0.024390
and,it'	2.000000	0.200000	0.022472	0.040404
normal,use	2.000000	1.000000	0.022472	0.043956
hard,drive	2.000000	0.105263	0.022472	0.037037
and,it	4.000000	0.051948	0.044944	0.048193
5,hour	3.000000	0.750000	0.033708	0.064516
and,ha	2.000000	0.181818	0.022472	0.040000
a,batteri	2.000000	1.000000	0.022472	0.043956
last,more	2.000000	0.666667	0.022472	0.043478
full,charg	3.000000	0.600000	0.033708	0.063830
i,have	2.000000	0.022989	0.022472	0.022727
excel,batteri	2.000000	1.000000	0.022472	0.043956
batteri,doesn't	2.000000	1.000000	0.022472	0.043956
it,is	6.000000	0.050847	0.067416	0.057971
life,and	4.000000	1.000000	0.044944	0.086022
is,realli	2.000000	0.250000	0.022472	0.041237
doe,not	2.000000	0.117647	0.022472	0.037736
up,to	2.000000	0.222222	0.022472	0.040816
